"순번","업소명","연락처","팩스","주소","영업시간","휴무일","기본정보","장애인 편의 시설","주출입구","장애인전용주차구역","출입문 문 폭","복도/통로","장애인용 엘리베이터","장애인용 화장실","음식점 좌석/테이블","장애인용 관람석","접수대 작업대","샤워실 탈의실","테이블/진열대 등 통로 폭","장애인용 객실","여객시설","비치용품","이용가능댓수","턱 치수 *삭제된 항목","단차 cm","메뉴명","경도","위도","다음 경도","다음 위도"
"1","천사의하품 영등포점","02-815-7877","02-815-7837","서울시 동작구 대방동 394-7 금성빌딩  6층","㏂10:00~㏘19:00","화요일","","장애인용엘리베이터일반주차장주출입구단차없음지하철접근가능지상버스접근가능","턱이나계단없음","일반 주차장만 있음","이용가능(80cm 이상)","이동가능","휠체어 사용자용 조작반 설치음성신호장치 설치","","","","이용불편(높이 90cm 이하)","","이용가능(80cm 이상)","","","","","","","기타","126.92792","37.49999","193626.29270","444505.45434"
"2","새천년온누리약국","02-815-5051","02-815-5052","서울시 동작구 대방동 393-65 상원빌딩 1층","㏂08:30~㏘21:30","일요일 연휴","","일반주차장주출입구단차없음지하철접근가능지상버스접근가능","턱이나계단없음","일반 주차장만 있음","이용가능(80cm 이상)","","","","","","이용불편(높이 90cm 이하)","","이용가능(80cm 이상)","","","","","","","병원","126.92826","37.50000","193656.35820","444506.54124"
"3","트윈파크부동산 노들역점","02-815-1945","02-815-0365","서울시 동작구 노량진로 235","㏂09:30~㏘19:30","","","","경사로 이용불편(기울기 5도 초과)","주차장없음","이용가능(80cm 이상)","이동가능","","","","","이용불편(높이 90cm 이하)","","이용가능(80cm 이상)","","","","","","","기타","126.95196","37.51297","195752.77639","445944.71129"
"4","곰팔이 생고기","02-813-0822","02-813-0822","서울시 동작구 흑석동 101-1","㏂10:00~㏘23:00","","","","","","이용가능(80cm 이상)","","","","1개씩 이동 가능한 좌석","","","","이용가능(80cm 이상)","","","","","","","음식점","126.96261","37.50822","196694.13505","445417.09444"
"5","GLORY","02-795-4452","02-795-4452","서울시 용산구 이태원동 34-65","㏂10:00~㏘23:00","","","주출입구단차없음","턱이나계단없음","주차장없음","이용가능(80cm 이상)","이동가능","","","","","","","","","","","","","","슈퍼마켓 등 판매점","126.98904","37.53390","199031.29543","448266.65140"
"6","크라운호텔 엔티움파티앤웨딩","02-3785-3000","02-790-3800","서울시 용산구 이태원동 34-69","","","","장애인용화장실장애인용엘리베이터일반엘리베이터장애인용주차장일반주차장","경사로 이용가능(기울기 5도 이하)","이용가능장애인전용주차구역 크기 작음","이용가능(80cm 이상)","이동가능","휠체어 사용자용 조작반 설치","남녀공용바깥 열림 여닫이문대변기 손잡이 이용 불편","1개씩 이동 가능한 좌석이동 가능한 다인용 좌석유","","","","","","","","1","","","공공시설","126.99081","37.53144","199187.71101","447993.60502"
"7","포베이 신용산점","02-790-2240","02-790-2241","서울시 용산구 한강로2가 189","㏂11:00~㏘23:00","","","장애인용엘리베이터주출입구단차없음","턱이나계단없음","주차장없음","이용가능(80cm 이상)","이동가능","휠체어 사용자용 조작반 설치음성신호장치 설치","","","","","","","","","","","","","음식점","126.96896","37.52753","197256.28218","447560.05656"
"8","카페 에쯔","02-766-4769","02-765-7207","서울시 종로구 동숭동 195-6","㏂10:30~㏘21:30","명절","(1층)카페 출입문도 이용 가능하고   카페에 들어가기 전 주출입문도 휠체어 이용 가능.     내부 통로 아주 넓음.     휠체어 이동가능.    계산대 휠체어 이용 가능.    장애인전용 화장실 있음.","장애인용화장실주출입구단차없음지하철접근가능지상버스접근가능","턱이나 계단 없음 경사로 이용가능(기울기 5도 이하)","","이용가능(80cm 이상)","이동가능","","남녀별도자동문대변기 전면만 접근 가능","1개씩 이동 가능한 좌석","","","","이용가능(80cm 이상)","","","","","","","음식점","127.00479","37.57939","200423.10904","453315.45459"
"9","동숭교회","02-743-0017~8","02-765-7207","서울시 종로구 이화장길 94","","","휠체어 유모차 등 이동 용이   휠체어석 배치되어 있음  장애인 화장실 이용 가능","장애인용화장실장애인용엘리베이터장애인용주차장일반주차장주출입구단차없음지하철접근가능지상버스","턱이나 계단 없음 경사로 이용가능(기울기 5도 이하)","이용가능","이용가능(80cm 이상)","이동가능","휠체어 사용자용 조작반 설치","남녀공용바깥 열림 여닫이문안쪽 열림 여닫이문대변기 전면/측면 모두 접근 가능대변기 손잡이 이용 가","","장애인용 관람석 맨 뒤비장애인 동석 가능","","","이용가능(80cm 이상)","","","","","","","종교시설","127.00515","37.57949","200454.90785","453326.55513"
"10","무장애연대","02-765-6835","02-765-1385","서울시 종로구 수송동 58 두산위브파빌리온","㏂09:00~㏘18:00","주말 공휴일","장애물없는생활환경시민연대(약칭 무장애연대)는 두산위브파빌리온 516호에 자리잡고 있습니다.  사무실까지 지하철 이용을 할 경우 1호선 종각역 3호선 안국역 5호선 광화문역으로 접근이 가능하며 휠체어를 사용","장애인용화장실장애인용엘리베이터일반엘리베이터장애인용주차장일반주차장주출입구단차없음지하철접","","","","","","","","","","","","","","","","","","기타","126.98183","37.57256","198394.86567","452557.54776"
